#id sdkAdded compatAdded codepoints
F00F9 19 1 1F608
F00FA 19 1 1F38B
F00FB 19 1 1F55D
F00FC 19 1 1F51D
F00FE 19 1 1F60E
F00FF 19 1 1F5FC
F0100 19 1 1F4EF
F0101 19 1 1F5FE
F0102 19 1 1F5FD
F0103 19 1 1F5FF
F0104 19 1 1F370
F0105 19 1 1F371
F0106 19 1 1F372
F0107 19 1 1F373
F0108 19 1 1F374
F0109 19 1 1F375
F010A 19 1 1F376
F010B 19 1 1F377
F010C 19 1 1F378
F010D 19 1 1F379
F010E 19 1 1F64C
F010F 19 1 1F51E
F0110 19 1 1F47C
F0111 19 1 1F47B
F0112 19 1 1F47A
F0113 19 1 1F60F
F0114 19 1 1F47F
F0115 19 1 1F47E
F0116 19 1 1F47D
F0117 19 1 1F3B3
F0118 19 1 1F3B2
F0119 19 1 1F3B1
F011A 19 1 1F3B0
F011B 19 1 1F3B7
F011C 19 1 1F3B6
F011D 19 1 1F3B5
F011E 19 1 1F3B4
F011F 19 1 1F3B9
F0120 19 1 1F3B8
F0121 19 1 1F62B
F0122 19 1 1F699
F0123 19 1 1F698
F0124 19 1 1F62C
F0125 19 1 1F693
F0126 19 1 1F692
F0127 19 1 1F691
F0128 19 1 1F690
F0129 19 1 1F697
F012A 19 1 1F696
F012B 19 1 1F695
F012C 19 1 1F694
F012D 19 1 1F473
F012E 19 1 1F472
F012F 19 1 1F471
F0130 19 1 1F470
F0131 19 1 1F477
F0132 19 1 1F476
F0133 19 1 1F475
F0134 19 1 1F474
F0135 19 1 1F479
F0136 19 1 1F478
F0137 19 1 1F37A
F0138 19 1 1F37B
F0139 19 1 1F37C
F013A 19 1 1F685
F013B 19 1 1F69C
F013C 19 1 1F69B
F013D 19 1 1F69A
F013E 19 1 1F69F
F013F 19 1 1F60A
F0140 19 1 1F69D
F0141 19 1 1F3E6
F0142 19 1 1F3E7
F0143 19 1 1F3BA
F0144 19 1 1F3E5
F0145 19 1 1F3E2
F0146 19 1 1F3BF
F0147 19 1 1F3E0
F0148 19 1 1F3BD
F0149 19 1 1F532
F014A 19 1 1F683
F014B 19 1 1F3E8
F014C 19 1 1F3E9
F014D 19 1 1F530
F014E 19 1 1F68C
F014F 19 1 1F531
F0150 19 1 1F60B
F0151 19 1 1F406
F0152 19 1 1F407
F0153 19 1 1F404
F0154 19 1 1F405
F0155 19 1 1F402
F0156 19 1 1F403
F0157 19 1 1F400
F0158 19 1 1F401
F0159 19 1 1F0CF
F015A 19 1 1F408
F015B 19 1 1F409
F015C 19 1 1F4B0
F015D 19 1 1F4B1
F015E 19 1 1F4B2
F015F 19 1 1F4B3
F0160 19 1 1F4B4
F0161 19 1 1F4B5
F0162 19 1 1F4B6
F0163 19 1 1F4B7
F0164 19 1 1F4B8
F0165 19 1 1F4B9
F0166 19 1 1F60C
F0167 19 1 2601
F0168 19 1 1F538
F0169 19 1 1F539
F016A 19 1 1F40F
F016B 19 1 1F40D
F016C 19 1 1F40E
F016D 19 1 1F40B
F016E 19 1 1F40C
F016F 19 1 1F40A
F0170 19 1 1F510
F0171 19 1 26C4
F0172 19 1 1F4BA
F0173 19 1 1F4BB
F0174 19 1 1F4BC
F0175 19 1 1F4BD
F0176 19 1 1F4BE
F0177 19 1 1F4BF
F0178 19 1 1F6AC
F0179 19 1 1F6AB
F017A 19 1 1F6AA
F017B 19 1 1F6AF
F017C 19 1 1F6AE
F017D 19 1 1F6AD
F017E 19 1 1F63A
F017F 19 1 1F63C
F0180 19 1 26C5
F0181 19 1 1F63E
F0182 19 1 1F63D
F0183 19 1 1F63F
F0184 19 1 1F4E7
F0185 19 1 1F550
F0186 19 1 1F4E6
F0187 19 1 1F551
F0188 19 1 1F381
F0189 19 1 1F33E
F018A 19 1 1F33F
F018B 19 1 1F382
F018C 19 1 1F385
F018D 19 1 1F33A
F018E 19 1 1F33B
F018F 19 1 1F33C
F0190 19 1 1F389
F0191 19 1 1F3AC
F0192 19 1 1F3AA
F0193 19 1 1F3AF
F0194 19 1 26CE
F0195 19 1 1F3AD
F0196 19 1 1F3AE
F0197 19 1 1F497
F0198 19 1 1F201
F0199 19 1 1F202
F019A 19 1 1F558
F019B 19 1 1F559
F019C 19 1 1F639
F019D 19 1 1F638
F019E 19 1 1F6A1
F019F 19 1 1F6A0
F01A0 19 1 1F6A7
F01A1 19 1 1F6A6
F01A2 19 1 1F6A5
F01A3 19 1 1F6A4
F01A4 19 1 1F631
F01A5 19 1 1F630
F01A6 19 1 1F633
F01A7 19 1 1F632
F01A8 19 1 1F635
F01A9 19 1 1F634
F01AA 19 1 1F637
F01AB 19 1 1F636
F01AC 19 1 1F334
F01AD 19 1 1F335
F01AE 19 1 1F3A8
F01AF 19 1 1F3A9
F01B0 19 1 1F38E
F01B1 19 1 1F38D
F01B2 19 1 1F332
F01B3 19 1 1F38F
F01B4 19 1 1F3A2
F01B5 19 1 1F3A3
F01B6 19 1 1F3A0
F01B7 19 1 1F3A1
F01B8 19 1 1F3A6
F01B9 19 1 1F339
F01BA 19 1 1F3A4
F01BB 19 1 1F3A5
F01BC 19 1 2797
F01BD 19 1 2796
F01BE 19 1 2795
F01C0 19 1 1F51A
F01C1 19 1 2652
F01C2 19 1 2653
F01C3 19 1 2650
F01C4 19 1 2651
F01C5 19 1 1F4F4
F01C6 19 1 1F4F5
F01C7 19 1 1F448
F01C8 19 1 1F449
F01C9 19 1 1F4F0
F01CA 19 1 1F4F1
F01CB 19 1 1F4F2
F01CC 19 1 1F4F3
F01CD 19 1 1F442
F01CE 19 1 1F443
F01CF 19 1 1F440
F01D0 19 1 1F446
F01D1 19 1 1F447
F01D2 19 1 1F444
F01D3 19 1 1F445
F01D4 19 1 1F51F
F01D5 19 1 A9
F01D7 19 1 1F517
F01D8 19 1 1F603
F01DB 19 1 1F4AA
F01DC 19 1 1F52E
F01DD 19 1 1F52D
F01DE 19 1 1F52F
F01DF 19 1 1F52A
F01E0 19 1 1F3C6
F01E1 19 1 1F4FB
F01E2 19 1 1F4FC
F01E3 19 1 1F44B
F01E4 19 1 1F44C
F01E5 19 1 1F44A
F01E6 19 1 1F44F
F01E7 19 1 1F44D
F01E8 19 1 1F44E
F01EC 19 1 1F45F
F01EF 19 1 1F4A6
F01F0 19 1 231B
F01F1 19 1 231A
F01F2 19 1 1F6C0
F01F3 19 1 1F457
F01F4 19 1 1F36F
F01F5 19 1 1F36E
F01F6 19 1 1F36D
F01F7 19 1 1F36C
F01F8 19 1 1F36B
F01F9 19 1 1F36A
F01FA 19 1 303D
F01FB 19 1 1F369
F01FC 19 1 1F368
F01FD 19 1 1F367
F01FE 19 1 1F366
F01FF 19 1 1F365
F0200 19 1 1F364
F0201 19 1 1F363
F0202 19 1 1F362
F0203 19 1 1F361
F0204 19 1 1F360
F0205 19 1 1F18E
F0206 19 1 1F6B6
